     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
       500,        28,         0,   846.4,relay-bp,2357e44273c97fa5fd24a405e7d2cf26d1b66983d83d2e0a226cbb1455530131,"{""circuit"":""bicycle_bivariate_144_12_12_memory_Z"",""d"":12,""decoder_params"":{""gamma0"":0.1,""gamma_dist_interval"":[-0.24,0.66],""num_sets"":300,""pre_iter"":80,""set_max_iter"":60,""stop_nconv"":5},""k"":12,""n"":144,""p"":0.005,""r"":12,""xyz"":false}",
       500,         9,         0,    5.68,msl-bp,339516cff573ceeb68d326911715edac30661e7ef3546c2871d5da216ff59ce4,"{""circuit"":""bicycle_bivariate_144_12_12_memory_Z"",""d"":12,""decoder_params"":{""gamma0"":0.1,""gamma_dist_interval"":[-0.24,0.66],""num_sets"":300,""pre_iter"":80,""set_max_iter"":60,""stop_nconv"":5},""k"":12,""n"":144,""p"":0.002,""r"":12,""xyz"":false}",
       500,         1,         0,    3.04,mem-bp,8186a2ae61362a38c6eafd45e51a010c32897a8d37efcfe2d1c352ff9c8ba7c9,"{""circuit"":""bicycle_bivariate_144_12_12_memory_Z"",""d"":12,""decoder_params"":{""gamma0"":0.1,""gamma_dist_interval"":[-0.24,0.66],""num_sets"":300,""pre_iter"":80,""set_max_iter"":60,""stop_nconv"":5},""k"":12,""n"":144,""p"":0.002,""r"":12,""xyz"":false}",
       500,        13,         0,    6.61,mem-bp,5b2842f902283c645becdc4f7d1acc8862b2ac137f5f6082b98e82723ec12c0c,"{""circuit"":""bicycle_bivariate_144_12_12_memory_Z"",""d"":12,""decoder_params"":{""gamma0"":0.1,""gamma_dist_interval"":[-0.24,0.66],""num_sets"":300,""pre_iter"":80,""set_max_iter"":60,""stop_nconv"":5},""k"":12,""n"":144,""p"":0.003,""r"":12,""xyz"":false}",
       500,       171,         0,    19.6,mem-bp,d15375fd04b6bc3950468bbcb9c1bcd0d4d3649df7197220009b483e2a2da5eb,"{""circuit"":""bicycle_bivariate_144_12_12_memory_Z"",""d"":12,""decoder_params"":{""gamma0"":0.1,""gamma_dist_interval"":[-0.24,0.66],""num_sets"":300,""pre_iter"":80,""set_max_iter"":60,""stop_nconv"":5},""k"":12,""n"":144,""p"":0.005,""r"":12,""xyz"":false}",
       500,        44,         0,    10.5,msl-bp,459e3ae2f5c455b49d082ea36734ecf8193f228a5a04e70a9a111d8b5c3f1e3e,"{""circuit"":""bicycle_bivariate_144_12_12_memory_Z"",""d"":12,""decoder_params"":{""gamma0"":0.1,""gamma_dist_interval"":[-0.24,0.66],""num_sets"":300,""pre_iter"":80,""set_max_iter"":60,""stop_nconv"":5},""k"":12,""n"":144,""p"":0.003,""r"":12,""xyz"":false}",
       500,       131,         0,    17.7,msl-bp,a8e5fce4b85a7404e5976d2d99a9148ed6c9821b100aa264ad61682dc7545c48,"{""circuit"":""bicycle_bivariate_144_12_12_memory_Z"",""d"":12,""decoder_params"":{""gamma0"":0.1,""gamma_dist_interval"":[-0.24,0.66],""num_sets"":300,""pre_iter"":80,""set_max_iter"":60,""stop_nconv"":5},""k"":12,""n"":144,""p"":0.004,""r"":12,""xyz"":false}",
      5000,         2,         0,   508.2,relay-bp,3856cec2a8ea25925f40f4724b7abb36772b821fdc3bd60028014c9c8f89d7e6,"{""circuit"":""bicycle_bivariate_144_12_12_memory_Z"",""d"":12,""decoder_params"":{""gamma0"":0.1,""gamma_dist_interval"":[-0.24,0.66],""num_sets"":300,""pre_iter"":80,""set_max_iter"":60,""stop_nconv"":5},""k"":12,""n"":144,""p"":0.003,""r"":12,""xyz"":false}",
       500,       209,         0,   816.8,msl-bp,b17af5a95f29100d42755b7af6e3fd6ff6b598422326022880aa5301cd254c5d,"{""circuit"":""bicycle_bivariate_144_12_12_memory_Z"",""d"":12,""decoder_params"":{""gamma0"":0.1,""gamma_dist_interval"":[-0.24,0.66],""num_sets"":300,""pre_iter"":80,""set_max_iter"":60,""stop_nconv"":5},""k"":12,""n"":144,""p"":0.002,""r"":12,""xyz"":true}",
     20000,         2,         0,   914.7,relay-bp,4011ade3dde12a06c80ba8875be7c904c449807c69c18225a469dd6b9f86533a,"{""circuit"":""bicycle_bivariate_144_12_12_memory_Z"",""d"":12,""decoder_params"":{""gamma0"":0.1,""gamma_dist_interval"":[-0.24,0.66],""num_sets"":300,""pre_iter"":80,""set_max_iter"":60,""stop_nconv"":5},""k"":12,""n"":144,""p"":0.002,""r"":12,""xyz"":false}",
       500,        61,         0,    12.3,mem-bp,2d980a586a9abb954eb50ede341c3d97098a26dd88f8c98e42da81e2ee5ec4e6,"{""circuit"":""bicycle_bivariate_144_12_12_memory_Z"",""d"":12,""decoder_params"":{""gamma0"":0.1,""gamma_dist_interval"":[-0.24,0.66],""num_sets"":300,""pre_iter"":80,""set_max_iter"":60,""stop_nconv"":5},""k"":12,""n"":144,""p"":0.004,""r"":12,""xyz"":false}",
      1000,         4,         0,   348.1,relay-bp,cb85408aec5b48e08a187696fbcac9a751f32a55262978e790d525b1b1d7c7e7,"{""circuit"":""bicycle_bivariate_144_12_12_memory_Z"",""d"":12,""decoder_params"":{""gamma0"":0.1,""gamma_dist_interval"":[-0.24,0.66],""num_sets"":300,""pre_iter"":80,""set_max_iter"":60,""stop_nconv"":5},""k"":12,""n"":144,""p"":0.004,""r"":12,""xyz"":false}",
       500,       351,         0,   903.4,msl-bp,06f4373ce3130196829b67fae7b26e5c59bd92885045a534453270162267e54d,"{""circuit"":""bicycle_bivariate_144_12_12_memory_Z"",""d"":12,""decoder_params"":{""gamma0"":0.1,""gamma_dist_interval"":[-0.24,0.66],""num_sets"":300,""pre_iter"":80,""set_max_iter"":60,""stop_nconv"":5},""k"":12,""n"":144,""p"":0.003,""r"":12,""xyz"":true}",
       500,        52,         0,   572.9,mem-bp,28a4e472df72504bf8bac5fc677296a19859720f48eba2028ed400f6af3b1291,"{""circuit"":""bicycle_bivariate_144_12_12_memory_Z"",""d"":12,""decoder_params"":{""gamma0"":0.1,""gamma_dist_interval"":[-0.24,0.66],""num_sets"":300,""pre_iter"":80,""set_max_iter"":60,""stop_nconv"":5},""k"":12,""n"":144,""p"":0.002,""r"":12,""xyz"":true}",
       500,       101,         0,   701.4,mem-bp,f6aef0d928517e6ed52f6d52466a6b6dc71716548220b5f0765cbd92ac7ac8f0,"{""circuit"":""bicycle_bivariate_144_12_12_memory_Z"",""d"":12,""decoder_params"":{""gamma0"":0.1,""gamma_dist_interval"":[-0.24,0.66],""num_sets"":300,""pre_iter"":80,""set_max_iter"":60,""stop_nconv"":5},""k"":12,""n"":144,""p"":0.003,""r"":12,""xyz"":true}",
       500,       198,         0,   853.1,mem-bp,d572ed2a207eaa3dccf18d506425431cc2a94ca4d2cd0951b62eaa4a4ecf59d9,"{""circuit"":""bicycle_bivariate_144_12_12_memory_Z"",""d"":12,""decoder_params"":{""gamma0"":0.1,""gamma_dist_interval"":[-0.24,0.66],""num_sets"":300,""pre_iter"":80,""set_max_iter"":60,""stop_nconv"":5},""k"":12,""n"":144,""p"":0.004,""r"":12,""xyz"":true}",
       500,       345,         0,   895.0,mem-bp,debecabf265f269f3d627e06527999ac26c7b0e9ae89e925cc636dbd9330b3db,"{""circuit"":""bicycle_bivariate_144_12_12_memory_Z"",""d"":12,""decoder_params"":{""gamma0"":0.1,""gamma_dist_interval"":[-0.24,0.66],""num_sets"":300,""pre_iter"":80,""set_max_iter"":60,""stop_nconv"":5},""k"":12,""n"":144,""p"":0.005,""r"":12,""xyz"":true}",
       500,       280,         0,    24.5,msl-bp,01aa0f819f14458dde21dd02eb2518e0ccd7f6faecd2ccec5e62102c7316e09b,"{""circuit"":""bicycle_bivariate_144_12_12_memory_Z"",""d"":12,""decoder_params"":{""gamma0"":0.1,""gamma_dist_interval"":[-0.24,0.66],""num_sets"":300,""pre_iter"":80,""set_max_iter"":60,""stop_nconv"":5},""k"":12,""n"":144,""p"":0.005,""r"":12,""xyz"":false}",
       500,       455,         0,   936.9,msl-bp,3d2a3d4a6b31c345d4e225c2482fd0cf4cfa88aa1e47284113edced938d1dae8,"{""circuit"":""bicycle_bivariate_144_12_12_memory_Z"",""d"":12,""decoder_params"":{""gamma0"":0.1,""gamma_dist_interval"":[-0.24,0.66],""num_sets"":300,""pre_iter"":80,""set_max_iter"":60,""stop_nconv"":5},""k"":12,""n"":144,""p"":0.004,""r"":12,""xyz"":true}",
       500,       496,         0,   889.5,msl-bp,2d95918065200c1464c13c784955a910fe9672283b5aaac6bbe7de3a00f135d7,"{""circuit"":""bicycle_bivariate_144_12_12_memory_Z"",""d"":12,""decoder_params"":{""gamma0"":0.1,""gamma_dist_interval"":[-0.24,0.66],""num_sets"":300,""pre_iter"":80,""set_max_iter"":60,""stop_nconv"":5},""k"":12,""n"":144,""p"":0.005,""r"":12,""xyz"":true}",
      5000,         1,         0, 77556.9,relay-bp,c68dcde3728ec16f9b3c872e3c9bb53f58b2e287936df1b47ebfbd008da875f6,"{""circuit"":""bicycle_bivariate_144_12_12_memory_Z"",""d"":12,""decoder_params"":{""gamma0"":0.1,""gamma_dist_interval"":[-0.24,0.66],""num_sets"":300,""pre_iter"":80,""set_max_iter"":60,""stop_nconv"":5},""k"":12,""n"":144,""p"":0.003,""r"":12,""xyz"":true}",
     20000,         2,         0,113821.4,relay-bp,1bf59b2b7d2bb05efb2d5d3088afe8aa1da0cf69e6bce7b602edd7b8909fff82,"{""circuit"":""bicycle_bivariate_144_12_12_memory_Z"",""d"":12,""decoder_params"":{""gamma0"":0.1,""gamma_dist_interval"":[-0.24,0.66],""num_sets"":300,""pre_iter"":80,""set_max_iter"":60,""stop_nconv"":5},""k"":12,""n"":144,""p"":0.002,""r"":12,""xyz"":true}",
      1000,         5,         0, 46958.5,relay-bp,33e63fb4296d7b0bd014faddf80a643970f4019dac844fbdf381b1119b68bb90,"{""circuit"":""bicycle_bivariate_144_12_12_memory_Z"",""d"":12,""decoder_params"":{""gamma0"":0.1,""gamma_dist_interval"":[-0.24,0.66],""num_sets"":300,""pre_iter"":80,""set_max_iter"":60,""stop_nconv"":5},""k"":12,""n"":144,""p"":0.004,""r"":12,""xyz"":true}",
       500,        38,         0, 84686.1,relay-bp,97f71f8508df86ac26d23dcf62131f939c89d3c2dbc2faa56a159049c0d7423c,"{""circuit"":""bicycle_bivariate_144_12_12_memory_Z"",""d"":12,""decoder_params"":{""gamma0"":0.1,""gamma_dist_interval"":[-0.24,0.66],""num_sets"":300,""pre_iter"":80,""set_max_iter"":60,""stop_nconv"":5},""k"":12,""n"":144,""p"":0.005,""r"":12,""xyz"":true}",
